title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language,Unnamed: 0.1,Unnamed: 0
Sly Lives! (aka The Burden of Black Genius),"Sly Lives! (aka The Burden of Black Genius) is a 2025 American documentary film, directed by Ahmir ""Questlove"" Thompson. It explores the life, career, and legacy of Sly and the Family Stone.",Questlove,,"Amit Dey, Joseph Patel, Derik Murray",,,Josh Pearson,"January 23, 2025(Sundance)",United States,English,983.0,183.0
The Day Today,"Sylvester Stewart (March 15, 1943 – June 9, 2025), better known by his stage name Sly Stone, was an American musician, songwriter, and record producer. He was the frontman of Sly and the Family Stone, playing a critical role in the development of psychedelic soul and funk with his pioneering fusion of soul, rock, psychedelia, and gospel in the 1960s and 1970s. AllMusic stated that ""James Brown may have invented funk, but Sly Stone perfected it,"" and credited him with ""creating a series of euphoric yet politically charged records that proved a massive influence on artists of all musical and cultural backgrounds"".[3] Crawdaddy! has credited him as the founder of the ""progressive soul"" movement.[4]",,,,,,,,,,984.0,184.0
Smashing Frank,"The screenplay for Smashing Frank was developed by Trevor Choi as part of a filmmaking course taught by Fruit Chan and was completed in early 2019 under Chan's mentorship. In 2021, Choi founded the 16By9 and launched a crowdfunding campaign on Kickstarter on the channel's first anniversary to produce their debut feature film basing on the screenplay of Smashing Frank.",Trevor Choi,Trevor Choi,Charles Yen,"Hedwig Tam, Locker Lam, Kaki Sham, Renci Yeung, Ben Yuen",Alfred Pong,"Wong Hoi, Daniel Lee",17 April 2025(Hong Kong),Hong Kong,Cantonese,985.0,185.0
The Smashing Machine,"The Smashing Machine is an upcoming American biographical sports drama film written, directed, co-produced, and edited by Benny Safdie. It stars Dwayne Johnson as former wrestler and MMA fighter Mark Kerr, alongside Emily Blunt as Kerr's then-wife Dawn Staples, with Ryan Bader, Bas Rutten and Oleksandr Usyk in supporting roles.",Benny Safdie,Benny Safdie,"Benny Safdie, Dwayne Johnson, Eli Bush, Hiram Garcia, Dany Garcia, David Koplan","Dwayne Johnson, Emily Blunt, Ryan Bader, Bas Rutten, Oleksandr Usyk",Maceo Bishop,Benny Safdie,"October 3, 2025",United States,English,986.0,186.0
Smurfs,,Chris Miller,Pam Brady,"Ryan Harris, Rihanna, Laurence ""Jay"" Brown, Tyran ""Ty-Ty"" Smith","Rihanna, James Corden, Nick Offerman, J. P. Karliak, Daniel Levy, Amy Sedaris, Natasha Lyonne, Sandra Oh, Jimmy Kimmel, Octavia Spencer, Nick Kroll, Hannah Waddingham, Alex Winter, Maya Erskine, Billie Lourd, Xolo Maridueña, Kurt Russell, John Goodman",,Matt Landon,"July 18, 2025","United States, Belgium",English,987.0,187.0
Sneaks,Sneaks is a 2025 animated sports comedy film directed by Rob Edwards and Chris Jenkins from a script by Edwards. It is Edwards' feature directorial debut.[3][4][5],"Rob Edwards, Chris Jenkins",Rob Edwards,"Laurence Fishburne, Helen Sugland, Len Hartman, Gil Cloyd, Meko Yohannes, Jeremy Ross, Robyn Klein","Anthony Mackie, Martin Lawrence, Swae Lee, Chloe Bailey, Macy Gray, Ella Mai, Mustard, Roddy Ricch, Quavo, Young Miko, Amirah Hall, Kiana Ledé, Bobbito García, Sam Jay, Jonathan Kite, Amari McCoy, Donovan Louis Bazemore, Sky Brown, Rayssa Leal, Rico Rodriguez, Will McCormack, Michael Govier, Andrew Hawkins, Keith David, Chris Paul, Laurence Fishburne",,,"March 28, 2025(United Kingdom)","United States, United Kingdom, India, Canada",English,988.0,188.0
Snow White,,Marc Webb,,"Marc Platt, Jared LeBoff","Rachel Zegler, Andrew Burnap, Gal Gadot",Mandy Walker,"Mark Sanger, Sarah Broshar","March 12, 2025(Alcázar of Segovia)",United States,English,989.0,189.0
Sod & Stubble,"The film premiered at the Orpheum Theater on March 28, 2025, and was released in the United States on April 18, 2025.",Ken Spurgeon,Ken Spurgeon,"Bailey Chase, Randy Edens, Deb Goodrich, Mark Mannette, Tom Penning","Bailey Chase, Dodie Brown, Barry Corbin, Mary Beth McDonough, Buck Taylor",Logan McNay,Logan McNay,"March 28, 2025(Orpheum Theater)",United States,English,990.0,190.0
Soloz: Game of Life,"A teenager gamer named Soloz goes through various challenges to succeed as a professional and successful player in the arena of mobile video games, Mobile Legends: Bang Bang. The story starts when Soloz recounts his rise during a livestream in school, taking viewers back to his modest beginnings in sleepy village. An ambitious gamer with a knack for competition struggles against his strict mother, Lailatul (played by Lisdawati), who sees gaming as a waste of time. Thankfully, his supportive father (Fauzi Nawawi) reignites his competitive spirit.[3]",Syafiq Yusof,"Nazifdin Nasrudin, Syafiq Yusof",Rahila Ali,"Hun Haqeem, Ikmal Amry, Syafie Naswip, Noki K-Clique, Jihaa Sham",Oscar Tong,"Ariff Aiman Azahar, Syafiq Yusof, Nazifdin Nasrudin",23 January 2025(Malaysia),Malaysia,Malay,991.0,191.0
Something Beautiful,"Something Beautiful is a musical film and visual album by American singer Miley Cyrus, and serves as a visual companion to her 2025 album of the same name. Written and directed by Cyrus, Jacob Bixenman and Brendan Walter, it was produced by Columbia Records, Sony Music Vision, Live Nation Entertainment and XYZ Films. It premiered on June 6, 2025, at the Tribeca Festival and to be released theatrically on June 12.","Miley Cyrus, Jacob Bixenman, Brendan Walter","Miley Cyrus, Brendan Walter, Jacob Bixenman","Miley Cyrus, Panos Cosmatos, Nick Spicer, Nate Bolotin, Aram Tertzakian",Miley Cyrus,Benoît Debie,Brendan Walter,"June 6, 2025(Tribeca Festival)",United States,English,992.0,192.0
Sonar Kellay Jawker Dhan,"Sonar Kellay Jawker Dhan (/ʃoʊˈneɪrˈkɛlleɪˈdʒɔːkərðeɪn/ transl. The Treasure of Ghost in the Golden Fort),[a] also known by the initialism SKJD, is a 2025 Indian Bengali-language action-adventure film co-written and directed by Sayantan Ghosal.[2][3] Produced by Nispal Singh under the banner of Surinder Films, the film is the third installment of the Jawker Dhan franchise.[4] It stars Parambrata Chatterjee, Koel Mallick and Gaurav Chakrabarty reprising their roles from the previous films, with Saheb Chatterjee, Suprobhat Das, Jammy Banerjee and Masood Akhtar play another pivotal roles.[5]",Sayantan Ghosal,,Nispal Singh,"Parambrata Chatterjee, Koel Mallick, Gaurav Chakrabarty, Saheb Chatterjee, Suprobhat Das, Jammy Banerjee",Ramyadip Saha,Subhajit Singha,30 May 2025,India,Bengali,993.0,193.0
Song Sung Blue,"Song Sung Blue is an upcoming American biographical musical drama film written, co-produced, and directed by Craig Brewer based on the 2008 documentary of the same name by Greg Kohs. It stars Hugh Jackman, Kate Hudson, Michael Imperioli, Fisher Stevens, Jim Belushi, Ella Anderson, King Princess, Mustafa Shakir, and Hudson Hilbert Hensley.",Craig Brewer,,"Craig Brewer, John Davis, John Fox","Hugh Jackman, Kate Hudson, Michael Imperioli, Fisher Stevens, Jim Belushi, Ella Anderson, King Princess, Mustafa Shakir, Hudson Hilbert Hensley",,,"December 25, 2025",United States,English,994.0,194.0
Sons of the Neon Night,"Sons of the Neon Night is a 2025 Hong Kong[1] crime thriller film directed, written, and co-produced by Juno Mak. It stars an ensemble cast led by Takeshi Kaneshiro, Sean Lau, Tony Leung Ka-fai, Louis Koo, and Gao Yuanyuan.[2] Production for the film began in June 2017,[3] and wrapped up in March 2018. It was originally set for release in 2019, but post-production was interrupted by the COVID-19 pandemic, resuming only once the pandemic ended.[4][5]",Juno Mak,Juno Mak,"Juno Mak, Percy Cheung, Catherine Hun","Takeshi Kaneshiro, Sean Lau, Tony Leung Ka-fai, Louis Koo, Gao Yuanyuan",Sion Michel,William Chang,17 May 2025(Cannes),"Hong Kong, [, 1, ]",Cantonese,995.0,195.0
Soothravakyam,"While specific plot details are yet to be officially revealed, promotional materials suggest a narrative involving high school students and a police station, hinting at a youth-centered drama with social commentary.",Eugien Jos Chirammel,Rejin S. Babu,Srikanth Kandragula,"Shine Tom Chacko, Vincy Aloshious, Deepak Parambol, Srikanth Kandragula",Sreeram Chandrasekharan,Nithish KTR,"May 30, 2025(India)",India,Malayalam,996.0,196.0
"Sorry, Baby","Sorry, Baby is a 2025 American black comedy drama film written and directed by Eva Victor and produced by Barry Jenkins. Victor also has a starring role alongside Naomi Ackie and Lucas Hedges.",Eva Victor,Eva Victor,"Adele Romanski, Mark Ceryak, Barry Jenkins, Frank Ariza","Eva Victor, Naomi Ackie, Lucas Hedges, John Carroll Lynch, Louis Cancelmi, Kelly McCormack",Mia Cioffi Henry,"Alex O'Flinn, Randi Atkins","January 27, 2025(Sundance)",United States,English,997.0,197.0
Sosyal Climbers,"The film released worldwide in Netflix on February 27, 2025, and it debuted at the number 1 spot on Netflix's top 10 movies in the Philippines.[7]","Jason Paul Laxamana, [, 1, ]",,"Jason Paul Laxamana, Katherine S. Labayen","Maris Racal, Anthony Jennigs",,Mai Calapardo,"February 27, 2025",Philippines,"Filipino, English",998.0,198.0
Soul on Fire,"It is set to be released in the United States and Canada on October 10, 2025 by Sony Pictures Releasing.",Sean McNamara,Gregory Poirier,"J. Todd Harris, Margaret French Isaac, Sean McNamara, David Brookwell","William H. Macy, John Corbett, Joel Courtney",,,"October 10, 2025",United States,English,999.0,199.0
Sound of Falling,"Sound of Falling (German: In die Sonne schauen, lit. 'Looking at the sun') is a 2025 German drama film co-written and directed by Mascha Schilinski. It follows four generations of girls connected by a farm in the Altmark. The film had its world premiere in the main competition of the 78th Cannes Film Festival on 14 May 2025, where it won the Jury Prize, and will be theatrically released in Germany by Neue Visionen [de] on 11 September 2025.",Mascha Schilinski,"Mascha Schilinski, Louise Peter","Lucas Schmidt, Lasse Scharpen, Maren Schmitt","Hanna Heckt, [, de, ], Lena Urzendowsky, Laeni Geiseler, Susanne Wuest, Luise Heyer, Lea Drinda, [, de, ]",Fabian Gamper,"Evelyn Rack, [, de, ]",14 May 2025(Cannes),Germany,German,1000.0,0.0
Sovereign,"The film is scheduled to be released on July 11, 2025.[2][3]",Christian Swegal,Christian Swegal,Nick Moceri,"Nick Offerman, Jacob Tremblay, Thomas Mann, Nancy Travis, Martha Plimpton, Dennis Quaid",Dustin Lane,David Henry,"June 8, 2025(Tribeca Festival)",United States,English,1001.0,1.0
Space Cadet,"Space Cadet is a 2025 Canadian animated film directed by Kid Koala in his directorial debut from his 2011 graphic novel of the same name. Adapted for film by Mylene Chollet, it is a dialogue-free musical fable about a young astronaut and her guardian robot which explores grief, loss and love across generations. The film is a tomorrow-days lullaby about finding your place in the universe.[1][2]",Kid Koala,Mylène Chollet,"Ginette Petit, Michel Pradier",,,"Corinne Merrell, Alain Baril","February 16, 2025(Berlinale)",Canada,,1002.0,2.0
Speak,"The film debuted at the Sundance Film Festival on January 23, 2025 in the U.S. Documentary Competition.[3]","Jennifer Tiexiera, Guy Mossman",,"Pamela Louise Griner, Guy Mossman, Jennifer Tiexiera",,Guy Mossman,"Delaney Lynch, Jennifer Tiexiera",,United States,English,1003.0,3.0
Spinal Tap II: The End Continues,"Spinal Tap II: The End Continues is an upcoming American mockumentary comedy film directed by Rob Reiner. It is a sequel to the 1984 film This Is Spinal Tap, and features Christopher Guest, Michael McKean, and Harry Shearer reprising their roles as members of the fictional heavy metal band Spinal Tap who are reuniting after 15 years for one final show.",Rob Reiner,"Christopher Guest, Michael McKean, Harry Shearer, Rob Reiner","Rob Reiner, Michele Reiner, Matthew George","Christopher Guest, Michael McKean, Harry Shearer, Rob Reiner",,,"September 12, 2025",United States,English,1004.0,4.0
Splitsville,"The film had its world premiere at the Cannes Premiere section of the 2025 Cannes Film Festival on May 19, 2025, and will be theatrically released by Neon on August 22, 2025.",Michael Angelo Covino,"Michael Angelo Covino, Kyle Marvin","Michael Angelo Covino, Kyle Marvin, Emily Korteweg, Dakota Johnson, Ro Donnelly, Samantha Racanelli","Michael Angelo Covino, Adria Arjona, Dakota Johnson, Kyle Marvin, Nicholas Braun, O-T Fagbenle",Adam Newport-Berra,Sara Shaw,"May 19, 2025(Cannes)",United States,English,1005.0,5.0
The SpongeBob Movie: Search for SquarePants,"The SpongeBob Movie: Search for SquarePants is an upcoming American animated adventure comedy film based on the SpongeBob SquarePants television series, created by Stephen Hillenburg. The film is directed by series veteran Derek Drymon and stars the show's regular voice cast alongside Mark Hamill, Regina Hall, Sherry Cola, Arturo Castro, George Lopez, and Ice Spice. The plot follows SpongeBob as he travels to the depths of the ocean to face off against the Flying Dutchman. It is the fourth theatrical film based on the series, following Sponge on the Run in 2020.",Derek Drymon,,"Pam Brady, Lisa Stewart, Aaron Dem","Tom Kenny, Clancy Brown, Rodger Bumpass, Bill Fagerbakke, Carolyn Lawrence, Mr. Lawrence, Mark Hamill, Regina Hall, Sherry Cola, Arturo Castro, George Lopez, Ice Spice",,,"December 19, 2025",United States,English,1006.0,6.0
SpongeBob: Order Up,"SpongeBob: Order Up is a 2025 American animated short film based on the SpongeBob SquarePants television series, created by Stephen Hillenburg. It was directed by Sean Charmatz, and written by Charmatz and Paul Tibbitt. Featuring no dialogue, the film centers on SpongeBob as he overuses the Krusty Krab's order up bell, much to the dismay of his irritable co-worker, Squidward.",Sean Charmatz,"Sean Charmatz, Paul Tibbitt",Jennie Monica Hammond,,,,"June 10, 2025(Annecy)",United States,English,1007.0,7.0
Sri Sri Sri Raja Vaaru,"Set in the rural village of Atreyapuram, Sri Sri Sri Raja Vaaru follows the story of a rebellious young man, portrayed by Narne Nithin, who is deeply in love with his childhood sweetheart, played by Sampada. Their planned marriage is abruptly called off by their elders due to undisclosed reasons. Determined to uncover the truth and challenge societal norms, the protagonist embarks on a journey of self-discovery and confrontation, aiming to reclaim his love and assert his identity.[2]",Satish Vegesna,Satish Vegesna,Chintapalli Ramarao,"Narne Nithin, Sampada, Rao Ramesh, Naresh, Raghu Kunche, Racha Ravi, Priya Machiraju, Jabardast Nagi",Damu Narravula,Madhu,6 June 2025,India,Telugu,1008.0,8.0
Star Trek: Section 31,"Star Trek: Section 31 is a 2025 American science fiction television film directed by Olatunde Osunsanmi and written by Craig Sweeny for the streaming service Paramount+. It is the first television film, and the fourteenth film overall, in the Star Trek franchise and part of executive producer Alex Kurtzman's expanded Star Trek Universe. A spin-off from the series Star Trek: Discovery, the film is set in the franchise's ""lost era"" between the Star Trek: The Original Series films and the series Star Trek: The Next Generation. It follows Philippa Georgiou as she works with Section 31, a secret division of Starfleet tasked with protecting the United Federation of Planets, and must face the sins of her past.",,,,,,,,,,1009.0,9.0
Starwalker,"The cast also includes Jason Sakaki, Jennifer Lines, Connor Parnall, Emma Slipp, Ralph Escamillan, Hank Pine and Jesse Alvarez in supporting roles.",Corey Payette,Corey Payette,"Fabian Aspell Morales, Corey Payette","Dillan Chiblow, Jeffrey Michael Follis, Stewart Adam McKensy","Parham Banafsheh, Ian Mrozewski",Christian Díaz Durán,"May 23, 2025(Inside Out)",Canada,English,1010.0,10.0
The Stepmother's Bond,"The Stepmother's Bond (Spanish: Tras el verano, lit. 'After Summer') is a 2025 Spanish drama film directed by Yolanda Centeno in her directorial debut feature. It stars Alexandra Jiménez and Juan Diego Botto alongside Ruth Gabriel and Álex Infantes.",Yolanda Centeno,,"Marta Velasco, Tay Sánchez, Gonzalo Bendala","Alexandra Jiménez, Juan Diego Botto, Ruth Gabriel, Álex Infantes",José Luis Bernal,Antonio Frutos,20 March 2025(Málaga),Spain,Spanish,1011.0,11.0
Stolen,"Stolen  is a 2025 Indian Hindi-language social thriller film directed by Karan Tejpal and produced by Gaurav Dhingra under the banner of Jungle Book Studio. The film stars Abhishek Banerjee in the lead role. The film delves into the harrowing journey of two urban brothers who become entangled in the desperate search for a kidnapped baby, highlighting themes of trust, conscience, and societal divides.[1] The film explores the exploitation of law enforcement by anti-social behaviour and the impact of mob psychology.[2] It premiered on Amazon Prime Video on 4 June 2025.",Karan Tejpal,"Karan Tejpal, Gaurav Dhingra, Swapnil Salkar Agadbumb",Gaurav Dhingra,"Abhishek Banerjee, Shubham Vardhan, Mia Maelzer, Harish Khanna, Sahidur Rahaman",Ishaan Ghosh,Shreyas Beltangdy,4 June 2025,India,Hindi,1012.0,12.0
Stone of Destiny,"Stone of Destiny (Czech: Kámen Osudu) is a 2025 animated short film written and directed by Julie Černá.[1] The film is based on Julie Černá's trilogy of comic books, Stone of Destiny, which was awarded the Muriel Prize for the best student comic book in 2022. In this animated musical, the Stone of Destiny longs for freedom and wants to overcome its self-doubt. So it embarks on a journey and meets strange creatures in strange places.[2][3]",Julie Černá,Julie Černá,Kristina Husová,,,Alexandra Volfová,17 February 2025(Berlinale),Czech Republic,Czech,1013.0,13.0
Stop the Insanity: Finding Susan Powter,"The film's director Zeberiah Newman said that it took him a year to find Powter. Co-producer Jamie Lee Curtis dubbed the documentary an ""indictment"" of the way society treats older people.[2][3]",Zeberiah Newman,,Jamie Lee Curtis,Susan Powter,,,"June 18, 2025(Bentonville Film Festival)",United States,English,1014.0,14.0
The Story of Us,The Story of Us (Spanish: Nosotros)[1] is an upcoming Spanish drama film directed by Helena Taberna [es] and co-written by Virginia Yagüe [es] based on the novel Feliz final by Isaac Rosa. It stars María Vázquez and Pablo Molinero.,Helena Taberna,,"Maribel Muñoz, Helena Taberna, Iker Ganuza","María Vázquez, Pablo Molinero",Txarli Arguiñano,"Helena Taberna, Clara Martínez Malagelada",28 February 2025,Spain,Spanish,1015.0,15.0
Strange Journey: The Story of Rocky Horror,"Wilson Chapman of IndieWire gave the film a B-, writing, ""The big draw for most fans will, likely, just to be able to hear the story from the mouths of all the people who brought the beloved film to life.""[2]",Linus O'Brien,,"Linus O'Brien, Adam Gibbs, Garret Price, Avner Shiloah",,Warren Kommers,Avner Shiloah,"March 9, 2025(SXSW)1",United States,English,1016.0,16.0
The Strangers – Chapter 2,"The Strangers – Chapter 2 is an upcoming American horror film directed by Renny Harlin, and written by Alan R. Cohen and Alan Freedland. It stars Madelaine Petsch and is the fourth film in The Strangers film series. It is the second installment of a new trilogy of films, and the direct sequel to The Strangers: Chapter 1.",Renny Harlin,"Alan R. Cohen, Alan Freedland","Courtney Solomon, Mark Canton, Christopher Milburn, Gary Raskin, Alastair Birlingham, Charlie Dombek","Madelaine Petsch, Gabriel Basso, Ema Horvath",José David Montero,Michelle Harrison,"September 26, 2025",United States,English,1017.0,17.0
Straw,"Straw is a 2025 American psychological crime drama film written, produced and directed by Tyler Perry. The film stars Taraji P. Henson, Sherri Shepherd, Teyana Taylor, Sinbad, Rockmond Dunbar, Ashley Versher, Mike Merrill, and Glynn Turman.",Tyler Perry,Tyler Perry,"Tyler Perry, Angi Bones, Tony Strickland","Taraji P. Henson, Sherri Shepherd, Teyana Taylor, Sinbad, Rockmond Dunbar, Ashley Versher, Mike Merrill, Glynn Turman",Justyn Moro,Nick Coker,"June 6, 2025",United States,English,1018.0,18.0
Streaming,"Streaming (Korean: 스트리밍) is a 2025 South Korean thriller film written and directed by Cho Jang-ho. It stars Kang Ha-neul as a top crime channel streamer who broadcasts in real time as he investigates clues behind an unsolved string of serial murders. The film was released on March 21, 2025.[2]",Cho Jang-ho,Cho Jang-ho,"Jo Seong-geol, Na Hye-young",Kang Ha-neul,Kang Sang-hyun,Heo Sun-mi,"March 21, 2025",South Korea,Korean,1019.0,19.0
The Stringer,"The film premiered at the Sundance Film Festival on January 25, 2025.[2] It was a last-minute selection for the festival, having been added to the lineup on January 7.[3] Nghe was in attendance at the premiere screening. There, he said, ""I took the photo.""[4]",Bao Nguyen,"Terri Lichstein, Fiona Turner, Gary Knight, Graham Taylor","Fiona Turner, Terri Lichstein",,"Bao Nguyen, Andrew Yuyi Truong, Ray Lavers",Graham Taylor,"January 25, 2025(Sundance)",,,1020.0,20.0
Subham,"Subham (transl. End) is a 2025 Indian Telugu-language horror comedy film directed by Praveen Kandregula and produced by Samantha through banner Tralala Moving Pictures, along with Kanakavalli Talkies.[2][3] The film features an ensemble cast of Harshith Reddy, Gavireddy Srinivas, Charan Peri, Shriya Kontham, Shravani Lakshmi, Shalini Kondepudi, and Vamshidhar Goud.",Praveen Kandregula,Vasanth Maringanti,Samantha,"Harshith Reddy, Gavireddy Srinivas, Charan Peri, Shriya Kontham, Shravani Lakshmi, Shalini Kondepudi, Vamshidhar Goud",Mridul Sujit Sen,Dharmendra Kakarala,9 May 2025,India,Telugu,1021.0,21.0
Sukkwan Island,"In January 2024, it was announced that Arlaud, Norman, Mollica and Pöysti were cast in the film.[2]",Vladimir de Fontenay,Vladimir de Fontenay,"Carole Scotta, Eliott Khayat, Caroline Benjo","Swann Arlaud, Woody Norman, Ruaridh Mollica, Alma Pöysti",Amine Berrada,Nicolas Chaudeurge,"January 25, 2025(Sundance)","United Kingdom, Norway, France",English,1022.0,22.0
Suky,"Suky is a 2025 Nigerian action film produced by Bamidele Adelusi, distributed through Nemsia Studios and directed by Ola Cardoso.[1] The film stars Tobi Bakre, Bimbo Ademoye, James Damilare, Olarotimi Fakunle, Femi Adebayo, Ibrahim Yekini and others.[1] Released to Amazon Prime Video on 7 March 2025, Suky revolves around underground Dambe boxing and follows a man driven by vengeance and the need to avenge his father's death, who finds himself caught in the boxing world and must fight for his freedom.[2]",Ola Cardoso,Isaac Ayodeji,Bamidele Adelusi,"Tobi Bakre, Femi Adebayo, Bimbo Ademoye, Boma Akpore, James Damilare",,Holmes Awa,7 March 2025,Nigeria,,1023.0,23.0
Sumathi Valavu,"The film is inspired by local folklore and real-life incidents associated with a place of the same name in Mylamoodu, Thiruvananthapuram, Kerala. According to legend, a woman named Sumathi, who was pregnant at the time, was murdered by her lover in the 1950s at this location. Since then, locals have claimed that the area is haunted by her spirit. Over the years, the site has been associated with various supernatural occurrences.[8][9]",Vishnu Sasi Shankar,Abhilash Pillai,Murali Kunnumpurath,,"P. V. Shankar, [, 1, ]",Shafique Mohamed Ali,June 2025,India,Malayalam,1024.0,24.0
Summer of 69,"The film premiered at the 2025 South by Southwest Film & TV Festival and released in the United States on Hulu on May 9, 2025.",Jillian Bell,"Jillian Bell, Liz Nico, Jules Byrne","Jeremy Garelick, Will Phelps, Molle DeBartolo, Jillian Bell, Breanna Bell-Singer, Adam Goodman, Matt Skiena, Lucas Carter","Chloe Fineman, Sam Morelos, Matt Cornett",Maria Rusche,Casey Brooks,"March 13, 2025(SXSW)",United States,English,1025.0,25.0
Sumo,"Sumo is a 2025 Indian Tamil-language sports comedy film directed by S. P. Hosimin, starring Shiva, Priya Anand and Yoshinori Tashiro with VTV Ganesh, Yogi Babu and Sathish in supporting roles. The film was produced by Ishari K. Ganesh under his Vels Film International banner with the technical team consisting of cinematographer Rajiv Menon, editor Praveen K. L. and composer Nivas K. Prasanna. Sumo was released in theatres on 25 April 2025 to mixed-to-negative reviews.",S. P. Hosimin,,Ishari K. Ganesh,"Shiva, Yoshinori Tashiro, Priya Anand",Rajiv Menon,Praveen K. L.,25 April 2025,India,Tamil,1026.0,26.0
Sunfish (& Other Stories on Green Lake),"Sunfish (& Other Stories on Green Lake) is a 2025 American semi-autobiographical anthology drama film directed, written, and produced by Sierra Falconer in her feature directorial debut.[1] An anthology film that also serves as Falconer's senior thesis film for the completion of her studies at the University of California, Los Angeles, it follows the lives of four people living around in Green Lake. Falconer called it ""loosely autobiographical.""[2]",Sierra Falconer,Sierra Falconer,"Sierra Falconer, Grant Ellison","Maren Heary, Jim Kaplan, Karsen Liotta, Dominic Bogart, Tenley Kellogg, Emily Hall",Marcus Patterson,Chelsi Johnston,"January 26, 2025(Sundance)",United States,English,1027.0,27.0
Sunita,"Sunita is a 2024 Manipuri film directed by Ajit Yumnam.[1][2][3] The film is produced by Brojen Yumnam under the banner of Cultural Society, Khuman Maheikol and jointly presented by Skyline Pictures and HM Production.[4] Narmada Shougaijam stars in the titular role and is based on the true story of Moirangthem Sunita. The film was world premiered at the 2nd Eikhoigi Imphal International Film Festival in the Manipur Matinée strand.[5][6][7][8] The movie was screened at the 2nd North East India Film Festival, Manipur 2025 under the competition section.[9][10][11][12][13]",Ajit Yumnam,Ajit Yumnam,Brojen Yumnam,Narmada Shougaijam,Nihal Bandari,Hiranmoy Gogoi,7 February 2025,India,"Meiteilon, (, Manipuri, )",1028.0,28.0
Superman,"Superman is an upcoming American superhero film based on the eponymous character from DC Comics. Written and directed by James Gunn, it will be the first film in the DC Universe (DCU) produced by DC Studios and the second reboot of the Superman film series. The film stars David Corenswet as Clark Kent / Superman, alongside Rachel Brosnahan, Nicholas Hoult, Edi Gathegi, Anthony Carrigan, Nathan Fillion, and Isabela Merced. The film explores Superman's journey to reconcile his alien heritage with his adoptive human family.",James Gunn,James Gunn,"Peter Safran, James Gunn","David Corenswet, Rachel Brosnahan, Nicholas Hoult, Edi Gathegi, Anthony Carrigan, Nathan Fillion, Isabela Merced",Henry Braham,"William Hoy, Craig Alpert","July 11, 2025",United States,English,1029.0,29.0
Surviving Ohio State,"It is set to have its world premiere at the Tribeca Festival on June 9, 2025, and is scheduled to be released on June 17, 2025, by HBO.",Eva Orner,,"Eva Orner, David Glasser, George Clooney, Grant Heslov",,Nick Higgins,Charles Olivier,"June 9, 2025(Tribeca)",United States,English,1030.0,30.0
Suryapet Junction,"Suryapet Junction is a 2025 Indian Telugu-language action drama film directed by Rajesh Nadendla, with dialogue penned by Rajendra Bharadwaj and Satya Rishi. It is produced by Aneel Kumar Katragadda, N Srinivas Rao under Yoga Lakshmi Art Creations. The film stars Eeswar, Naina Sarwar, and Abhimanyu Singh in the lead roles.
Suryapet Junction was released theatrically on 25 April  2025.[1] The film opened to positive reviews from critics.[2][3]",Rajesh Nadendla,"Rajendra Bharadwaj, Satya Rishi","Aneel Kumar Katragadda, N Srinivas Rao","Eeswar, Naina Sarwar, Abhimanyu Singh",Arun Prasad,MR Varma,25 April 2025,India,Telugu,1031.0,31.0
SuSheela SuJeet,"SuSheela SuJeet is a 2025 Indian Marathi-language suspense drama film directed and written by Prasad Oak.[3] He also co-produces the film along with Manjiri Oak, Swapnil Joshi, Sanjay Memane, and Nilesh Rathi under the banner of Panchsheel Entertainments and Big Brain Productions.[4] The film stars Swapnil Joshi and Sonali Kulkarni in the title roles.[5] It is a story about two unlikely individuals who embark on a journey of self-discovery, exploring the unpredictable nature of life with humor, emotion, and surprises.",Prasad Oak,"Story:, Prasad Oak, Screenplay and dialogue:, Ajay Kamble, [, 1, ]","Prasad Oak, Manjiri Oak, Sanjay Memane, Nilesh Rathi, Swapnil Joshi","Swapnil Joshi, Sonali Kulkarni",Sanjay Memane,,18 April 2025,India,Marathi,1032.0,32.0
Sweet Dreams,"Sweet Dreams is a 2025 Indian Hindi-language romantic drama film written and directed by Victor Mukherjee. Produced under Jio Studios and Mango People Media,[2] the film stars Amol Parashar and Mithila Palkar.[3] The film premiered on 24 January 2025 on Disney+ Hotstar.[4]",Victor Mukherjee,Victor Mukherjee,"Jyoti Deshpande, Neha Anand, Pranjal Khandhdiya","Amol Parashar, Mithila Palkar",Hanoz V.K.,Manikandan Nayakam,24 January 2025,India,Hindi,1033.0,33.0
Sweet Summer Pow Wow,"The cast also includes Graham Greene, Tanis Parenteau, Lisa C. Ravensbergen, Joel Montgrand, Taylor Kinequon, Trevor Carroll, Nick Dangeli and Tyler Peters in supporting roles.",Darrell Dennis,,"Harold C. Joe, Leslie D. Bland","Joshua Odjick, Tatyana Rose Baptiste, Graham Greene",Daniel Carruthers,Gavin Andrews,"February 14, 2025(VFF)",Canada,English,1034.0,34.0
