title,description,directed_by,produced_by,starring,country,language,release_date
"Jone, Sometimes","Jone, Sometimes (Basque: Jone, batzuetan) is a 2025 Spanish coming-of-age drama film directed by Sara Fantova. It stars newcomer Olaia Aguayo along with Josean Bengoetxea.",Sara Fantova,No data,"Olaia Aguayo, Josean Bengoetxea",Spain,"Basque, Spanish",15-03-2025
Jongli,It is the final film of veteran Bangladeshi actress Gulshan Ara Ahmed.[2],M. Rahim,Zahid Hasan Abhi,"Siam Ahmed, Shobnom Bubly, Prarthana Fardin Dighi, Azwad Bhuiyan",Bangladesh,Bengali,31-03-2025
Jora Kaiya Thattunga,"Jora Kaiya Thattunga is produced by Zakir Ali under Wama Entertainment.[5] The music for the film is composed by Arunagiri S. N., while cinematography is handled by Madhu Ambat and editing by Sabu Joseph.[6]",Vineesh Millennium,Zakir Ali,"Yogi Babu, Hareesh Peradi, Shanthi Rao, Zakir Ali",India,Tamil,16-05-2025
The Juice,"On June 28, 2013, it was announced that British filmmaker Joshua Newton would write and direct a movie about the O. J. Simpson murder case to be titled An American Mystery.[1] Newton extensively researched the case and claimed to have discovered startling new evidence that would present several other suspects with both the motive and opportunity to commit the murders of Nicole Brown Simpson and Ron Goldman.[1] The evidence is based on real court documents, witness interviews, and trial testimonies.[2] Newton said in a statement that the project ""has the capacity to challenge entrenched attitudes on a topic that has inspired visceral reactions for almost a generation.""[1]",Joshua Newton,"Kevin Farr, Alexander Newton, Joshua Newton, Steve Small","Boris Kodjoe, Charlotte Kirk",United States,English,01-01-2025
Juliet & Romeo,"Juliet & Romeo is a 2025 musical romantic drama film written, co-produced, and directed by Timothy Scott Bogart, based on the play Romeo and Juliet by William Shakespeare.",Timothy Scott Bogart,"Timothy Scott Bogart, Jessica Martins, Chris Torto, Bradley Bogart, Andrea Iervolino","Clara Rugaard, Jamie Ward, Jason Isaacs, Tayla Parx, Dan Fogler, Nicholas Podany, Ferdia Walsh-Peelo, Rupert Graves, Martina Ortiz Luis, Alex Grech, Dennis Andres, Ledisi, Max Parker, Zac Bellward, Rebel Wilson, Rupert Everett, Derek Jacobi","Italy, United States",English,09-05-2025
Jumbo,"Jumbo is a 2025 Indonesian animated adventure supernatural fantasy film directed by Ryan Adriandhy in his directorial debut, from a screenplay he wrote with Widya Arifianti. The film features the voice of Prince Poetiray as Don, a boy who attempts to stage a play in a local talent show after feeling underestimated by his peers.[3]",Ryan Adriandhy,"Anggia Kharisma, Novia Puspa Sari","Prince Poetiray, Muhammad Adhiyat, Graciella Abigail, Yusuf Ozkan, Quinn Salman",Indonesia,Indonesian,31-03-2025
Jungle Beat 2: The Past,"The film was first released in Russia on 10 April 2025, and will later release in South Africa on 26 June 2025.","Sam Wilson, Brent Dawes, [, 1, ]","Jacqui Cunningham, Phil Cunningham, Tim Keller, Rita Mbanga","David Menkin, Ina Marie Smith","South Africa, Mauritius",English,10-04-2025
Jurassic World Rebirth,"Jurassic World Rebirth is an upcoming American science fiction action film directed by Gareth Edwards and written by David Koepp. It is a standalone sequel to Jurassic World Dominion (2022), the fourth Jurassic World film and the seventh installment overall in the Jurassic Park franchise. The film will star a new ensemble cast led by Scarlett Johansson, Mahershala Ali, and Jonathan Bailey.",Gareth Edwards,"Frank Marshall, Patrick Crowley","Scarlett Johansson, Mahershala Ali, Jonathan Bailey",United States,English,02-07-2025
Kaalamega Karigindhi,"Kaalamega Karigindhi is a 2025 Indian Telugu-language romantic drama film written and directed by Singara Mohan.[1] The film features Vinay Kumar, Shravani Majjari, Aravind Mudigonda and Nomina Tara in important roles.[2]",Singara Mohan,Mare Siva Shankar,"Vinay Kumar, Shravani Majjari, Aravind Mudigonda, Nomina Tara",India,Telugu,21-03-2025
Kaashi Raaghav,"Kaashi Raaghav is a 2025 Gujarati-language drama film directed by Dhruv Goswami and produced by Dhanpal Films. The film features Deeksha Joshi as Kaashi and Jayesh More as Raaghav in the lead roles, with Shruhad Goswami, Preeti Daas and child artist Pihushree Gadhvi in supporting roles.[2][3]",Dhruv Goswami,"Dhanpal Shah, Shweta Shah","Deeksha Joshi, Jayesh More, Pihushree Ghadvi, Shruhad Goswami, Preeti Daas",India,Gujarati,03-01-2025
Kaasi Vaasi,"Kaasi Vaasi (Sinhala: කාසි වාසි) is a 2025 Sri Lankan Sinhalese comedy film directed by Jayaprakash Sivagurunathan and co-produced by Anuradha B. Rekawa and Sri Lal Wickramage for Imperial Talkies.[1] It stars Giriraj Kaushalya in the lead role along with Rodney Warnakula, Priyantha Seneviratne, Sarath Kothalawala, Gihan Fernando and Amandya Uthpali made supportive roles.[2][3]",Jayaprakash Sivagurunathan,"Anuradha B. Rekawa, Sri Lal Wickramage","Giriraj Kaushalya, Rodney Warnakula, Priyantha Seneviratne, Sarath Kothalawala, Gihan Fernando, Amandya Uthpali",No data,Sinhala,23-01-2025
Kadhalikka Neramillai,"Kadhalikka Neramillai (transl. No Time to Love) is a 2025 Indian Tamil-language romantic comedy film written and directed by Kiruthiga Udhayanidhi. It is produced by Udhayanidhi Stalin under Red Giant Movies. The film stars Ravi Mohan and Nithya Menen in the lead roles, alongside Vinay Rai, Yogi Babu,  T.J. Bhanu and Lal. It is loosely inspired from the 2010 American romantic comedy The Switch.[3]",Kiruthiga Udhayanidhi,Udhayanidhi Stalin,"Ravi Mohan, Nithya Menen",India,Tamil,14-01-2025
Kalamkaval,The film is scheduled for theatrical release in India on 1 August 2025.[5],Jithin K. Jose,Mammootty,"Mammootty, Vinayakan, Gibin Gopinath, Gayatri Arun, Rajisha Vijayan",India,Malayalam,01-08-2025
Kaliyugam,"Set in a dystopian future, Kaliyugam explores themes of survival, morality, and human resilience in a world ravaged by catastrophic events. The story follows a group of individuals confronting both external dangers and internal psychological turmoil as they struggle to retain their humanity in a decaying society.",Pramodh Sundar,"K. S. Ramakrishna, K. Ramcharan","Shraddha Srinath, Kishore",India,"Tamil, Telugu",09-05-2025
Kangaroo,"Kangaroo is an upcoming Australian family comedy which is set to premiere on 18 September 2025.[1] Directed by Kate Woods and inspired by Chris 'Brolga' Barns, the founder of The Kangaroo Sanctuary, the film follows Chris who after being stranded, teams up with a young girl to help rehabilitate young injured joeys.",Kate Woods,"David Jowsey, Greer Simpkin, Angela Littlejohn, Rachel Clements, Trisha Morton-Thomas","Ryan Corr, Lily Whiteley, Deborah Mailman, Rachel House, Rarriwuy Hick, Rick Donald, Brooke Satchwell",Australia,English,18-09-2025
Kannappa,"Kannappa is an upcoming Indian Telugu-language fantasy film directed by Mukesh Kumar Singh and produced by Mohan Babu. It is based on the legend of Kannappa in Hinduism, a devotee of the god Shiva. The film stars Vishnu Manchu in the titular role.[2] Supporting roles are played by Mohan Babu, R. Sarathkumar, Arpit Ranka, Kaushal Manda, Rahul Madhav, Devaraj, Mukesh Rishi, Brahmanandam,[3] Raghu Babu, Preity Mukhundhan and Madhoo. The film also includes special cameo appearances by Mohanlal, Prabhas, Akshay Kumar (marking his Telugu film debut) and Kajal Aggarwal.[4]",Mukesh Kumar Singh,Mohan Babu,"Mohanlal, Prabhas, Vishnu Manchu, Akshay Kumar, Kajal Agarwal, Preity Mukhundhan",India,"Telugu, Hindi",27-06-2025
Kanneera,"Kanneera (transl. Teardrops) is a 2025 Indian Tamil-language romantic, family drama film directed by Kathir Raven S.[1] The film stars Kathir Raven S and Chandhine Kaur in the lead roles, alongside Maya Glammy and Nanthakumar NKR. The film was produced by S. Hari Uthraa under the banner of Uthraa Productions and More Four Production.[2]",Kathir Raven S,S. Hari Uthraa,"Kathir Raven S, Chandhine Kaur, Maya Glammy, Nanthakumar NKR",India,Tamil,14-02-2025
Kantara: Chapter 1,"Kantara: Chapter 1 is an upcoming Indian Kannada-language fantasy action film[2] set during the reign of Kadambas of Banavasi[3] written and directed by Rishab Shetty, and produced by Vijay Kiragandur and Chaluve Gowda under Hombale Films.[4][5] It is a prequel to the 2022 film Kantara. The film stars Rishab Shetty and Jayaram in the lead roles.[6]",Rishab Shetty,"Vijay Kiragandur, Chaluve Gowda","Rishab Shetty, Jayaram",India,Kannada,02-10-2025
Kapati,"Priya is fighting sadness in her family's home while odd things start happening all around her. Priya has no idea that her battle is in line with the evil powers of the dark web. A pair of aspirational boys, Suman and Chakri, take advantage of the shadowy corners of the internet to amass fortune. Suman and Chakri's quest for wealth simultaneously takes a sinister turn. Suman uses more subdued techniques, but Chakri resorts to brutality in order to increase revenues.","Ravikiran D, Chethan SP",Dayal Padmanabhan,"Sukrutha Wagle, Dev Devaiah, Sathvik Krishnan",India,Kannada,07-03-2025
Kapkapiii,"Kapkapiii is a 2025 Indian Hindi-language horror-comedy[2] film directed by Sangeeth Sivan and produced by Jayesh Patel. The film starring Tusshar Kapoor, Shreyas Talpade and Siddhi Idnani among others is a remake of the 2023 Malayalam film Romancham.[3] The adapted screenplay is written by Kumar Priyadarshi and Saurabh Anand.  The film was slated for a June 2024 release, but is seemingly pushed because of the death of Sivan during post-production.[4][5] The film is released on 23 May 2025.[6][7]",Sangeeth Sivan,Jayesh Patel,"Tusshar Kapoor, Shreyas Talpade, Siddhi Idnani",India,Hindi,23-05-2025
Kaputu Koho,"Koel is a brood parasitic bird which lays eggs on the nest of crow. When the chicks are growing, the crows recognize that they are different and chase them away from the next. This storyline is focused in the film as a subtext of brotherhood, national unity and coexistence.[7] The film is full of folk music melodies and local dance patterns with a fusion of traditional stage drama style and cinematic techniques, including theatrical dialogues, singing and dancing.[5][3]",Somaratne Dissanayake,Renuka Balasuriya,"Amandya Uthpali, Harshana Dissanayake, Abhilashi Santhushki, Dilan Wickramasinghe",Sri Lanka,Sinhala,27-03-2025
Karate Kid: Legends,"Karate Kid: Legends is a 2025 American martial arts drama film starring Jackie Chan and Ralph Macchio, while introducing Ben Wang as the main lead. It is the sixth film in The Karate Kid franchise, serving as a continuation of The Karate Kid (2010) and the television series Cobra Kai (2018–2025).[5]  Both Chan and Macchio reprise their roles from the franchise—the latter's first involvement in a film from the franchise since The Karate Kid Part III (1989). The story follows Li (Wang), a kung fu prodigy who, after moving to New York and confronting with a local karate champion, receives help from his former master Mr. Han (Chan) and karate sensei Daniel LaRusso (Macchio). It is the first film in the series not to be produced by Jerry Weintraub, who died in 2015.[6][7]",Jonathan Entwistle,Karen Rosenfelt,"Jackie Chan, Ben Wang, Joshua Jackson, Sadie Stanley, Ming-Na Wen, Wyatt Oleff, Aramis Knight, Ralph Macchio",United States,English,07-05-2025
Katha Kamamishu,"Katha Kamamishu is a 2025 Indian Telugu-language comedy drama film directed by Goutham–Karthik.[3] The film features Indraja, Karuna Kumar, Kritika Roy, Krishna Prasad, Venkatesh Kakumanu, Stuthee Roy and Moin in lead roles.[4]The film was released on 2 January 2025 on Aha.[5][6]",Goutham–Karthik,Chinna Vasudeva Reddy,"Indraja, Karuna Kumar, Kritika Roy, Krishna Prasad, Harshini Koduru, Venkatesh Kakumanu, Stuthee Roy, Moin",India,Telugu,02-01-2025
Kathanar – The Wild Sorcerer,"Kathanar – The Wild Sorcerer is an upcoming Indian Malayalam-language fantasy thriller film directed and edited by Rojin Thomas and written by R. Ramanand. It is the first of two cinematic parts. The story traces the life of Kadamattathu Kathanar, a legendary 9th-century Christian priest endowed with magical powers. The film stars Jayasurya in the titular role, along with Anushka Shetty (in her Mollywood debut), Prabhu Deva and Vineeth. It is produced by Gokulam Gopalan of Sree Gokulam Movies.",Rojin Thomas,Gokulam Gopalan,"Jayasurya, Anushka Shetty, Prabhu Deva, Vineeth",India,Malayalam,No date
Kaushaljis vs Kaushal,"Sahil Kaushal (Ashutosh Rana) is a small-town accountant who enjoys qawwali music, while his wife Sangita (Sheeba Chaddha) is a homemaker with a passion for perfume making. Their son, Yug (Pavail Gulati), has settled in Delhi for his career. During an argument, Yug casually suggests his parents separate if they are unhappy. Unexpectedly, the Kaushals take the suggestion seriously and file for divorce, creating turmoil in the family.",Seemaa Desai,"Jyoti Deshpande, Umesh Shukla, Ashish Wagh, Parag Desai","Ashutosh Rana, Sheeba Chaddha, Pavail Gulati, Isha Talwar",India,Hindi,21-02-2025
Kayara,"Long ago, the Inca Messengers (Chasquis), were fast, strong and exclusively male. Determined to become the first female to break into the exclusive league of the Incan Empire’s messengers, Kayara embarks on a daring quest. Along the way she defends the undiscovered Golden City from the great dangers of exploitation and saves her friends and family from unexpected threats.","Cesar Zelada, [, 1, ]","Dirk Hampel, Jose Zelada, [, 1, ], Sergio Zelada, [, 1, ]","Naomi Serrano, Nate Begle, Charles Gonzales","Peru, [, 1, ], Spain, [, 2, ]",English,02-01-2025
Kazbek,The film's budget brought in more than $2 million.[3],Akbar Bekturdiyev,No data,"Ulugʻbek Qodirov, Fotih Nasimov","Uzbekistan, Russia, England","Russian, ,, German",09-05-2025
Keeper,Keeper is an upcoming American horror film written by Nick Lepard and directed by Osgood Perkins.  It stars Tatiana Maslany and Rossif Sutherland.,Osgood Perkins,"Chris Ferguson, Jesse Savath","Tatiana Maslany, Rossif Sutherland",United States,English,14-11-2025
Keluang Man,"The film was planned by Astro Shaw Writers' Room since 2019, led by Anwari and Roshfaizal. Development began in May 2023, when Anwari revealed the front page of the script through his social media. Nas-T was chosen as the main character through casting on social media from July to August 2023. Principal photography ran from May 2024 to July 2024, after the Eid al-Fitr month on Bandar Malaysia TUDM, Kluang, Johor, Perak and Klang Valley.",Anwari Ashraf,"Fadzlie Muthafa, Mia Aynor","Nas-T, Remy Ishak, Rosyam Nor, Anwaar Beg Moghal, Shweta Sekhon",Malaysia,Malay,29-05-2025
Kesari Chapter 2,"Kesari Chapter 2: The Untold Story of Jallianwala Bagh is a 2025 Indian Hindi-language historical courtroom drama film directed by Karan Singh Tyagi and produced by Dharma Productions, Leo Media Collective, and Cape of Good Films.[8][9] A spiritual sequel to the historical action film Kesari (2019), the plot is based on the book The Case That Shook The Empire by Raghu Palat and Pushpa Palat, centred around C. Sankaran Nair and the 1919 Jallianwala Bagh massacre.[10] The film stars Akshay Kumar as Nair and also features R. Madhavan and Ananya Panday.[11][12] It was released on 18 April 2025, marking the 106th anniversary of the Jallianwala Bagh massacre, to positive reviews from critics.[13]",Karan Singh Tyagi,"Hiroo Yash Johar, Aruna Bhatia, Karan Johar, Adar Poonawalla, Apoorva Mehta, Amritpal Singh Bindra, Anand Tiwari, [, 2, ]","Akshay Kumar, R. Madhavan, Ananya Panday",India,Hindi,18-04-2025
Kesari Veer,"Kesari Veer is a 2025 Indian Hindi-language historical action film directed by Prince Dhiman. The film is co-produced by Rajen Chauhan, Heena Chauhan, Suhraj Chauhan and Ohm Chauhan. Written, co-directed and produced by Kanubhai Chauhan of Chauhan Studios, the film stars Suniel Shetty, Vivek Oberoi, Sooraj Pancholi and Akanksha Sharma.[3] It tells the story of Rajput warrior Hamirji Gohil, who fought against the Tughlaq empire to protect the Somnath Temple from destruction.[4]","Prince Dhiman, Kanubhai Chauhan","Kanubhai Chauhan, Rajen Chauhan, Heena Chauhan, Suhraj Chauhan, Ohm Chauhan","Suniel Shetty, Sooraj Pancholi, Vivek Oberoi, Akanksha Sharma",India,Hindi,23-05-2025
Khartoum,"Khartoum is a 2025 documentary film directed by Anas Saeed, Rawia Alhag, Ibrahim Snoopy Ahmad, Timeea Mohamed Ahmed, with creative director and writer Philip Cox. The film relives survival and quest for freedom through dreams, rebellion, and civil strife of five Khartoum residents, who are compelled to flee Sudan for other countries in East Africa due to the onset of conflict.[1]","Anas Saeed, Rawia Alhag, Ibrahim Snoopy Ahmad, Timeea Mohamed Ahmed, Philip Cox","Giovanna Stopponi, Talal Afifi",No data,"Sudan, United Kingdom, Germany, Qatar","Arabic, English",27-01-2025
Kika,"The film had its world premiere at the Critics' Week section of the 2025 Cannes Film Festival on 16 May 2025, and will be theatrically released in Belgium on 25 June 2025 by Imagine Films.",Alexe Poukine,"Benoït Roland, Alexandre Perrier, François-Pierre Clavel",Manon Clavel,"Belgium, France",French,16-05-2025
Killbill Society,"Killbill Society: Amader Kono Shakha Nei (transl. Killbill Society: We have no branches) is a 2025 Indian Bengali-language black comedy romantic thriller film written and directed by Srijit Mukherji.[2] Produced by Shrikant Mohta and Mahendra Soni under the banner of Shree Venkatesh Films, the film is a spiritual sequel to Mukherji's film Hemlock Society (2012).[3] It stars Parambrata Chatterjee and Koushani Mukherjee in lead roles, while Biswanath Basu, Sandipta Sen and Anindya Chatterjee play other pivotal roles.[4]",Srijit Mukherji,"Shrikant Mohta, Mahendra Soni","Parambrata Chatterjee, Koushani Mukherjee, Biswanath Basu, Sandipta Sen, Anindya Chatterjee, Tulika Basu",India,Bengali,11-04-2025
The Killer and the Savage,This article related to an Iranian film is a stub. You can help Wikipedia by expanding it.,Hamid Nematollah,Hamid Nematollah,"Leila Hatami, Shahram Haghighatdoost, Amin Hayai, Setareh Eskandari",Iran,Persian,31-01-2025
Killing Mary Sue,Killing Mary Sue is an upcoming American action film written and directed by James Sunshine.,James Sunshine,"Larry Layfield, Jonathan Sachar, Patrick Durham, Dave Lugo, Abdul Bhuiyan (executive), Rosy Sultana (executive)","Sierra McCormick, Dermot Mulroney, Sean Patrick Flanery, Jason Mewes, Martin Kove, Kym Whitley, Jake Busey, French Stewart",United States,English,01-01-2025
Kinda Pregnant,"Kinda Pregnant is a 2025 American comedy film directed by Tyler Spindel, written by Julie Paiva and Amy Schumer, and starring Schumer alongside Jillian Bell, Brianne Howey, and Will Forte. It tells the story of 40-something school teacher Lainy who gets envious when her life-long best friend and colleague Kate and another co-worker are both pregnant leading her to steal a fake pregnancy belly to pretend to be pregnant.",Tyler Spindel,"Adam Sandler, Tim Herlihy, Amy Schumer, Molly Sims, Alex Saks, Kevin Grady, Eli Thomas, Judit Maull","Amy Schumer, Jillian Bell, Brianne Howey, Will Forte",United States,English,05-02-2025
The King of Kings,"The King of Kings is a 2025 animated Christian film written and directed by Seong-ho Jang, loosely inspired by the children's book The Life of Our Lord by Charles Dickens. The film stars the voices of Kenneth Branagh, Uma Thurman, Mark Hamill, Pierce Brosnan, Roman Griffin Davis, Forest Whitaker, Ben Kingsley, and Oscar Isaac.",Seong-ho Jang,"Seong-ho Jang, Woo-hyung Kim","Kenneth Branagh, Uma Thurman, Mark Hamill, Pierce Brosnan, Roman Griffin Davis, Forest Whitaker, Ben Kingsley, Oscar Isaac","United States, South Korea",English,11-04-2025
Kingdom,Kingdom is an upcoming Indian Telugu-language  spy action thriller film written and directed by Gowtam Tinnanuri. The film is produced by S. Naga Vamsi and Sai Soujanya under the banners of Sithara Entertainments and Fortune Four Cinemas. The film stars Vijay Deverakonda alongside Bhagyashri Borse and Satyadev. It is intended to be the first installment of a planned duology.[2],Gowtam Tinnanuri,"S. Naga Vamsi, Sai Soujanya","Vijay Deverakonda, Bhagyashri Borse, Satyadev",India,Telugu,04-07-2025
Kingston,"Kingston (also marketed as Kingston and the Cursed Sea) is a 2025 Indian Tamil-language fantasy horror adventure film[3] directed by Kamal Prakash, in his directorial debut. It is produced by G. V. Prakash Kumar, who also enacts in the lead role, Bhavani Sre, Vipin Agnihotri and Umesh KR Bansal, under Parallel Universe Pictures and Zee Studios. The cast also includes Divyabharathi, Elango Kumaravel, Sabumon Abdusamad and Chetan.",Kamal Prakash,"G. V. Prakash Kumar, Bhavani Sre, Umesh KR Bansal, Vipin Agnihotri","G. V. Prakash Kumar, Divyabharathi",India,Tamil,07-03-2025
Kiss,Kiss is an upcoming Indian Tamil-language romantic comedy film directed by Sathish Krishnan in his directorial debut and produced by Romeo Pictures. The film stars Kavin and Preethi Asrani in the lead roles.,Sathish Krishnan,Raahul,"Kavin, Preethi Asrani",India,Tamil,01-07-2025
Kiss of the Spider Woman,"Kiss of the Spider Woman is a 2025 American musical drama film written for the screen and directed by Bill Condon. Based on the stage musical by Terrence McNally, John Kander, and Fred Ebb, it is the second adaptation of the 1976 novel by Manuel Puig, following the Brazilian adaptation. Jennifer Lopez stars in the titular role, alongside Diego Luna and Tonatiuh.[2]",Bill Condon,"Barry Josephson, Tom Kirdahy, Greg Yolen","Diego Luna, Tonatiuh, Jennifer Lopez",United States,"English, Spanish",26-01-2025
KMJS Gabi ng Lagim: The Movie,The film is currently in development and is scheduled to be released in the first half of 2025.,"King Mark Baco, [, 1, ], Jerrold Tarog, [, 1, ], Dodo Dayao, [, 1, ]",No data,No data,Philippines,Tagalog,No date
Köln 75,"Köln 75 is a 2025 German music-drama film directed by Ido Fluk. The film follows the true story of Vera Brandes, teenage patron saint of the 1970s Cologne music scene, as she makes plans to organize a Keith Jarrett concert in Cologne, what eventually became the album The Köln Concert. Mala Emde and John Magaro star as Brandes and Jarrett, respectively.[1]",Ido Fluk,"Sol Bondy, Fred Burle","Mala Emde, John Magaro, Michael Chernus, Alexander Scheer","Germany, Poland, Belgium","German, English",16-02-2025
Konjam Kadhal Konjam Modhal,No data,K. Rangaraj,"My India, Manickam","Srikanth, Pujita Ponnada",India,Tamil,14-03-2025
Kontinental '25,"Kontinental '25 is a 2025 comedy-drama film written and directed by Radu Jude. The title of the film is inspired by Roberto Rossellini's 1951 film Europe '51. It stars Eszter Tompa as Orsolya, a bailiff in Cluj, who faces a moral crisis when a homeless man she tries to evict, living in the basement of a building, commits suicide.[1][2]",Radu Jude,"Alexandru Teodorescu, Rodrigo Teixiera","Eszter Tompa, Gabriel Spahiu, Adonis Tanța, Oana Mardare, Șerban Pavlu","Romania, Brazil, Switzerland, United Kingdom, Luxembourg","Romanian, Hungarian, German",19-02-2025
Kooran,"Kooran is a 2025 Indian Tamil-language film directed by Nithin Vemupati and co-written along with S. A. Chandrasekhar, starring himself, Y. G. Mahendran, Balaji Sakthivel in the lead roles, alongside Sathyan, George Maryan, Saravana Subbiah, Indraja Robo Shankar, Madhan Dakshanamoorthy, Kavitha Barathi and others in supporting roles.",Nithin Vemupati,Vicky,"S. A. Chandrasekhar, Y. G. Mahendran, Balaji Sakthivel",India,Tamil,28-02-2025
Kousalya Tanaya Raghava,"Kousalya Tanaya Raghava is a 2025 Indian Telugu-language romantic drama film directed by Swamy Patnaik, produced by Ratnakar Adapa under AR Movie Makers.[3] The film stars Rajesh Konchada, Sravani Setti, Venkatesh Maradapudi, Koteswara Rao, and Rangasthalam Mahesh. Music scored by Rajesh Raj Thelu and edited by Pataballa Shri Krishnaprasad.","Swamy Patnaik, [, 1, ]",Ratnakar Adapa,"Rajesh Konchada, Sravani Setti, Venkatesh Maradapudi, Koteswara Rao, Rangasthalam Mahesh",India,Telugu,No date
KPop Demon Hunters,"The film will be released on June 20, 2025, on Netflix.","Maggie Kang, Chris Appelhans",Michelle L.M. Wong,"Arden Cho, Ahn Hyo-seop, May Hong, Ji-young Yoo, Yunjin Kim, Daniel Dae Kim, Ken Jeong, Byung-hun Lee",United States,English,20-06-2025
Kuberaa,"Kuberaa is an upcoming Indian action drama film[1] directed and co-written by Sekhar Kammula. Produced by Suniel Narang and Puskur Rammohan Rao of Amigos Creations, it is simultaneously shot in Telugu, Tamil and Hindi. The film stars Nagarjuna, Dhanush, Rashmika Mandanna,  Jim Sarbh and Dalip Tahil.",Sekhar Kammula,"Sekhar Kammula, Suniel Narang, Puskur Ram Mohan Rao","Nagarjuna, Dhanush, Rashmika Mandanna, Jim Sarbh, Dalip Tahil",India,"Telugu, Tamil, Hindi",20-06-2025
Kudumbasthan,"Kudumbasthan (transl. Family Man) is a 2025 Indian Tamil-language comedy drama film directed by Rajeshwar Kalisamy in his directorial debut and produced by S. Vinoth Kumar under Cinemakaaran. The film stars K. Manikandan and Saanve Meghana in the lead roles alongside, R. Sundarrajan, Guru Somasundaram, Kudassanad Kanakam, and Nivedita Rajappan in important roles.[4] The film has music composed by Vaisagh, cinematography handled by Sujith N. Subramaniam and editing by Kannan Balu.[5]",Rajeshwar Kalisamy,S. Vinoth Kumar,"K. Manikandan, Saanve Meghana, Guru Somasundaram, Nivedita Rajappan",India,Tamil,24-01-2025
Kuzhanthaigal Munnetra Kazhagam,"Kuzhanthaigal Munnetra Kazhagam (transl. Children's progressive federation) is a 2025 Indian Tamil-language political satire film written, directed and produced by Shankar Dayal[a][2] along with Arunkumar Sammantham under Meenakshi Amman Movies banner. The film stars Yogi Babu and Senthil in the lead roles in their maiden collaboration,[3] alongside Imayavarman, Advaith Jai Masthaan, Subbu Panchu, Saravanan, Lizzie Antony, Chitra Lakshmanan, Mayilsamy and others in pivotal roles.",Shankar Dayal,"Arunkumar Sammantham, Shankar Dayal","Yogi Babu, Senthil",India,Tamil,24-01-2025
L2: Empuraan,"L2: Empuraan (transl. Overlord) stylised as L2: E.M.P.U.R.A.A.N marketed as L2E is a 2025 Indian Malayalam-language action thriller film directed by Prithviraj Sukumaran and written by Murali Gopy. It is jointly produced by Antony Perumbavoor, Subaskaran Allirajah and Gokulam Gopalan through Aashirvad Cinemas, Lyca Productions and Sree Gokulam Movies. The second instalment in the Lucifer trilogy starring Mohanlal, it also features Prithviraj Sukumaran, Abhimanyu Singh, Tovino Thomas, Manju Warrier, Indrajith Sukumaran, Jerome Flynn, Andrea Tivadar, Saikumar, Baiju Santhosh, Suraj Venjaramoodu, Kishore while Rick Yune and Pranav Mohanlal make cameo appearances.",Prithviraj Sukumaran,"Antony Perumbavoor, Subaskaran Allirajah, Gokulam Gopalan","Mohanlal, Prithviraj Sukumaran, Abhimanyu Singh, Tovino Thomas, Manju Warrier, Indrajith Sukumaran, Jerome Flynn, Andrea Tivadar",India,Malayalam,27-03-2025
Labake Olododo,"Labake Olododo is a 2025 Nigerian epic film produced by Iyabo Ojo and directed by Biodun Stephen. The film was released in Nigerian cinemas on March 28, 2025. It stars Iyabo Ojo, Femi Adebayo, Faithia Williams, Kunle Afolayan, and Mr Macaroni.[1] It is set against the Yoruba cultural heritage and tells the story of a heroine who through her fearless nature fights against injustice within the community amidst societal pressure.[2]",Biodun Stephen,"Iyabo Ojo, Layole Oyatogun, Alaba Ultimate","Iyabo Ojo, Odunlade Adekola, Fathia Balogun, Mercy Aigbe, Omowunmi Ajiboye",Nigeria,Yoruba,28-03-2025
Ladies & Gentlemen... 50 Years of SNL Music,"Ladies & Gentlemen... 50 Years of SNL Music is a 2025 American documentary film, directed by Ahmir ""Questlove"" Thompson and Oz Rodriguez. The film focuses on the late-night sketch show Saturday Night Live and its half-century of musical performances. The film premiered on NBC on January 27, 2025, and began streaming on Peacock the next day, as part of the lead up to the show's 50th anniversary special.[1][2]","Questlove, Oz Rodriguez",No data,No data,United States,English,27-01-2025
Lahore 1947,No data,Rajkumar Santoshi,Aamir Khan,"Sunny Deol, Preity Zinta, Aamir Khan, Shilpa Shetty, Ali Fazal, Shabana Azmi",India,Hindi,No date
Laila,Laila is a 2025 Telugu-language action comedy film directed by Ram Narayan. It was produced by Sahu Garapati under Shine Screens. It stars Vishwak Sen and Akanksha Sharma in the lead.[2][3][4] The film was released on 14 February 2025 to highly negative reviews and was a critical and commercial failure.[5],Ram Narayan,Sahu Garapati,"Vishwak Sen, Akanksha Sharma",India,Telugu,14-02-2025
Lara,Lara is a 2025 Indian Tamil-language suspense thriller film written and directed by Mani Moorthi. The film stars Ashok Kumar Balakrishnan and M Karthikesan.[2] The film was produced by Karthikesan under the banner of Mk Film Media Works.[3],Mani Moorthi,M Karthikesan,"Ashok Kumar Balakrishnan, M Karthikesan, Anusreya Rajan",India,Tamil,03-01-2025
